Warehouse,Location,Type,Pick Priority,Pickable,Sellable,Transfer bin
VP North,1-A-01-A-01,Pallite_16,0,,Yes,
VP North,1-A-01-A-02,Pallite_16,0,,Yes,
VP North,1-A-01-A-03,Pallite_16,0,,Yes,
VP North,1-A-01-A-04,Pallite_16,0,,Yes,
VP North,1-A-01-B-01,Pallite_16,0,,Yes,
VP North,1-A-01-B-02,Pallite_16,0,,Yes,
VP North,1-A-01-B-03,Pallite_16,0,,Yes,
VP North,1-A-01-B-04,Pallite_16,0,,Yes,
VP North,1-A-01-C-01,Pallite_16,0,,Yes,
VP North,1-A-01-C-02,Pallite_16,0,,Yes,
VP North,1-A-01-C-03,Pallite_16,0,,Yes,
VP North,1-A-01-C-04,Pallite_16,0,,Yes,
VP North,1-A-01-D-01,Pallite_16,0,,Yes,
VP North,1-A-01-D-02,Pallite_16,0,,Yes,
VP North,1-A-01-D-03,Pallite_16,0,,Yes,
VP North,1-A-01-D-04,Pallite_16,0,,Yes,
VP North,1-A-01-E-01,Pallite_16,0,,Yes,
VP North,1-A-01-E-02,Pallite_16,0,,Yes,
VP North,1-A-01-E-03,Pallite_16,0,,Yes,
VP North,1-A-01-E-04,Pallite_16,0,,Yes,
VP North,1-A-01-F-01,Pallite_16,0,,Yes,
VP North,1-A-01-F-02,Pallite_16,0,,Yes,
VP North,1-A-01-F-03,Pallite_16,0,,Yes,
VP North,1-A-01-F-04,Pallite_16,0,,Yes,
VP North,1-A-01-G-01,Pallite_16,0,,Yes,
VP North,1-A-01-G-02,Pallite_16,0,,Yes,
VP North,1-A-01-G-03,Pallite_16,0,,Yes,
VP North,1-A-01-G-04,Pallite_16,0,,Yes,
VP North,1-A-02-A-01,Pallite_48,0,,Yes,
VP North,1-A-02-A-02,Pallite_48,0,,Yes,
VP North,1-A-02-A-03,Pallite_48,0,,Yes,
VP North,1-A-02-A-04,Pallite_48,0,,Yes,
VP North,1-A-02-B-01,Pallite_48,0,,Yes,
VP North,1-A-02-B-02,Pallite_48,0,,Yes,
VP North,1-A-02-B-03,Pallite_48,0,,Yes,
VP North,1-A-02-B-04,Pallite_48,0,,Yes,
VP North,1-A-02-C-01,Pallite_48,0,,Yes,
VP North,1-A-02-C-02,Pallite_48,0,,Yes,
VP North,1-A-02-C-03,Pallite_48,0,,Yes,
VP North,1-A-02-C-04,Pallite_48,0,,Yes,
VP North,1-A-02-D-01,Pallite_48,0,,Yes,
VP North,1-A-02-D-02,Pallite_48,0,,Yes,
VP North,1-A-02-D-03,Pallite_48,0,,Yes,
VP North,1-A-02-D-04,Pallite_48,0,,Yes,
VP North,1-A-02-E-01,Pallite_48,0,,Yes,
VP North,1-A-02-E-02,Pallite_48,0,,Yes,
VP North,1-A-02-E-03,Pallite_48,0,,Yes,
VP North,1-A-02-E-04,Pallite_48,0,,Yes,
VP North,1-A-02-F-01,Pallite_48,0,,Yes,
VP North,1-A-02-F-02,Pallite_48,0,,Yes,
VP North,1-A-02-F-03,Pallite_48,0,,Yes,
VP North,1-A-02-F-04,Pallite_48,0,,Yes,
VP North,1-A-02-G-01,Pallite_48,0,,Yes,
VP North,1-A-02-G-02,Pallite_48,0,,Yes,
VP North,1-A-02-G-03,Pallite_48,0,,Yes,
VP North,1-A-02-G-04,Pallite_48,0,,Yes,
VP North,1-A-03-A-01,Pallite_16,0,,Yes,
VP North,1-A-03-A-02,Pallite_16,0,,Yes,
VP North,1-A-03-A-03,Pallite_16,0,,Yes,
VP North,1-A-03-A-04,Pallite_16,0,,Yes,
VP North,1-A-03-B-01,Pallite_16,0,,Yes,
VP North,1-A-03-B-02,Pallite_16,0,,Yes,
VP North,1-A-03-B-03,Pallite_16,0,,Yes,
VP North,1-A-03-B-04,Pallite_16,0,,Yes,
VP North,1-A-03-C-01,Pallite_16,0,,Yes,
VP North,1-A-03-C-02,Pallite_16,0,,Yes,
VP North,1-A-03-C-03,Pallite_16,0,,Yes,
VP North,1-A-03-C-04,Pallite_16,0,,Yes,
VP North,1-A-03-D-01,Pallite_16,0,,Yes,
VP North,1-A-03-D-02,Pallite_16,0,,Yes,
VP North,1-A-03-D-03,Pallite_16,0,,Yes,
VP North,1-A-03-D-04,Pallite_16,0,,Yes,
VP North,1-A-03-E-01,Pallite_16,0,,Yes,
VP North,1-A-03-E-02,Pallite_16,0,,Yes,
VP North,1-A-03-E-03,Pallite_16,0,,Yes,
VP North,1-A-03-E-04,Pallite_16,0,,Yes,
VP North,1-A-03-F-01,Pallite_16,0,,Yes,
VP North,1-A-03-F-02,Pallite_16,0,,Yes,
VP North,1-A-03-F-03,Pallite_16,0,,Yes,
VP North,1-A-03-F-04,Pallite_16,0,,Yes,
VP North,1-A-03-G-01,Pallite_16,0,,Yes,
VP North,1-A-03-G-02,Pallite_16,0,,Yes,
VP North,1-A-03-G-03,Pallite_16,0,,Yes,
VP North,1-A-03-G-04,Pallite_16,0,,Yes,
VP North,1-A-04-A-01,Pallite_48,0,,Yes,
VP North,1-A-04-A-02,Pallite_48,0,,Yes,
VP North,1-A-04-A-03,Pallite_48,0,,Yes,
VP North,1-A-04-A-04,Pallite_48,0,,Yes,
VP North,1-A-04-B-01,Pallite_48,0,,Yes,
VP North,1-A-04-B-02,Pallite_48,0,,Yes,
VP North,1-A-04-B-03,Pallite_48,0,,Yes,
VP North,1-A-04-B-04,Pallite_48,0,,Yes,
VP North,1-A-04-C-01,Pallite_48,0,,Yes,
VP North,1-A-04-C-02,Pallite_48,0,,Yes,
VP North,1-A-04-C-03,Pallite_48,0,,Yes,
VP North,1-A-04-C-04,Pallite_48,0,,Yes,
VP North,1-A-04-D-01,Pallite_48,0,,Yes,
VP North,1-A-04-D-02,Pallite_48,0,,Yes,
VP North,1-A-04-D-03,Pallite_48,0,,Yes,
VP North,1-A-04-D-04,Pallite_48,0,,Yes,
VP North,1-A-04-E-01,Pallite_48,0,,Yes,
VP North,1-A-04-E-02,Pallite_48,0,,Yes,
VP North,1-A-04-E-03,Pallite_48,0,,Yes,
VP North,1-A-04-E-04,Pallite_48,0,,Yes,
VP North,1-A-04-F-01,Pallite_48,0,,Yes,
